,flood,address,address1,address2,address3,address4,address5,address6,followInfo,tag,priceInfo（万）,Unit
0,东直门南大街    -  东直门 ,2室1厅 , 48.97平米 , 东 , 简装 , 低楼层(共18层) , 1991年建 , 塔楼,7人关注 / 6天以前发布,近地铁VR看装修房本满两年随时看房,595,"121,503元/平"
1,安外东河沿    -  安定门 ,2室1厅 , 64.64平米 , 南 北 , 精装 , 低楼层(共16层)  , 塔楼,,7人关注 / 7天以前发布,近地铁VR房源房本满五年随时看房,858,"132,736元/平"
2,金鱼池中区    -  天坛 ,2室1厅 , 72.27平米 , 南 北 , 简装 , 底层(共7层) , 2002年建 , 板楼,3人关注 / 5天以前发布,近地铁VR看装修房本满五年随时看房,766,"105,992元/平"
3,富贵园二区    -  东花市 ,3室1厅 , 104.27平米 , 西南 , 精装 , 中楼层(共18层) , 2003年建 , 塔楼,13人关注 / 19天以前发布,近地铁VR看装修房本满五年随时看房,1320,"126,595元/平"
4,金鱼池中区    -  天坛 ,4室2厅 , 137.64平米 , 南 北 , 精装 , 底层(共7层) , 2002年建 , 板楼,10人关注 / 9天以前发布,近地铁VR房源房本满两年,1000,"72,654元/平"
5,革新里小区    -  永定门 ,1室1厅 , 41.17平米 , 南 , 简装 , 低楼层(共6层)  , 板楼,,20人关注 / 7天以前发布,近地铁VR看装修房本满五年随时看房,375,"91,086元/平"
6,安外花园    -  和平里 ,1室1厅 , 46.56平米 , 南 北 , 简装 , 低楼层(共12层)  , 板塔结合,,4人关注 / 5天以前发布,近地铁VR房源房本满五年随时看房,550,"118,128元/平"
7,海运仓胡同3号院    -  东直门 ,3室1厅 , 69.5平米 , 东 西 , 简装 , 底层(共5层)  , 板楼,,6人关注 / 10天以前发布,近地铁VR看装修房本满五年随时看房,720,"103,598元/平"
8,水上华城    -  广渠门 ,2室2厅 , 94.21平米 , 东 , 精装 , 中楼层(共20层)  , 板塔结合,,2人关注 / 4天以前发布,VR看装修房本满五年,1260,"133,744元/平"
9,南门仓胡同    -  朝阳门内 ,3室1厅 , 84.46平米 , 南 北 , 简装 , 底层(共6层)  , 板楼,,2人关注 / 6天以前发布,近地铁VR看装修房本满五年,1280,"151,552元/平"
10,怡龙别墅    -  左安门 ,4室2厅 , 183.91平米 , 南 北 , 精装 , 4层  , 暂无数据 , 联排别墅 ,12人关注 / 15天以前发布,VR房源房本满五年,2050,"111,468元/平"
